entry_id,player_id,number,tier,era,team,signature_stat,stat_label,stat_weight,fun_fact,league_wide_retired,retired_league,retired_badge,verification_status,source_id,notes
bl-0035,don-nelson,19,LEGEND,Celtics Dynasty,Boston Celtics,5,Championships as a Celtics player,1,"Won five rings as a Celtic player. Became one of the greatest offensive coaching minds in NBA history, coaching the Milwaukee Bucks, Golden State Warriors, Dallas Mavericks, and New York Knicks. Revolutionized the game with small-ball and Nellie Ball offense.",,,,verified,bkref,
bl-0036,fred-lynn,19,LEGEND,Red Sox 70s,Boston Red Sox,1,Rookie of Year + MVP,3,In 1975 he became the only player in baseball history to win Rookie of Year and MVP in the same season. Still the only one.,,,,verified,bbref,
bl-0037,gino-cappelletti,20,LEGEND,Original Patriots,Boston Patriots,1130,Career Points,2,He was both a wide receiver and a kicker at the same time in the 1960s AFL and won the scoring title five times.,,,,verified,pfref,
bl-0038,kevin-youkilis,20,LEGEND,Red Sox Modern,Boston Red Sox,,,0,"Bill James called him The Greek God of Walks before he played a single MLB game. Boston loved him for it. Two rings, a .382 career OBP, and a nickname that said everything about how he approached every at-bat.",,,,verified,bbref,"Cultural Legend: City Icon — The Greek God of Walks. Stat suppressed; his legend lives in the roar of Fenway, not a line in a box score."
bl-0039,ray-allen,20,LEGEND,Big Three Era,Boston Celtics,1,Championship,2,"Made the most important three-pointer in Finals history in Game 6 of the 2013 NBA Finals. His legend was built in Boston, where he helped end a 22-year championship drought in 2008.",,,,verified,bkref,
bl-0040,ed-macauley,22,LEGEND,Celtics Dynasty,Boston Celtics,7,All-Star Selections (Played in First 7 NBA All-Star Games),1,Macauley and Cliff Hagan were traded to St. Louis in 1956 for the rights to Bill Russell. One of the most lopsided trades in NBA history. The Celtics got Russell and built a dynasty.,,,,verified,bkref,
bl-0041,roger-clemens,22,LEGEND,Red Sox 80s-90s,Boston Red Sox,192,Wins as a Red Sox pitcher,2,He struck out 20 batters in a single game in 1986. Still one of the most dominant pitching performances ever.,,,,verified,bbref,Complex legacy but undeniable Boston impact
bl-0042,willie-o-ree,22,LEGEND,Bruins History,Boston Bruins,,,0,"He became the first Black player in NHL history in 1958, breaking the color barrier 11 years after Jackie Robinson did the same in baseball. He was legally blind in one eye the entire time. Nobody knew until decades later.",,,,verified,hkref,Cultural Legend: Barrier Breaker — First Black player in NHL history (1958). Stat suppressed; the barrier he broke can't be measured.
bl-0043,frank-ramsey,23,LEGEND,Celtics Dynasty,Boston Celtics,7,Championships — Invented the Sixth Man Role Before It Had a Name,3,"He invented the sixth man role. Red Auerbach started him off the bench because he was better as a weapon than a starter, and Boston rings started following him around.",,,,verified,bkref,
bl-0044,luis-tiant,23,LEGEND,Red Sox 70s,Boston Red Sox,122,Wins as Red Sox,2,His windup was unlike anything in baseball. He turned his back completely to the hitter before delivering. Fenway loved the theater of it.,,,,verified,bbref,The windup was performance art
bl-0045,manny-ramirez,24,LEGEND,Red Sox Revival,Boston Red Sox,274,Home Runs as Red Sox,2,"He was the most naturally gifted right-handed hitter of his generation, and he did everything on his own schedule. That's why they say Manny Being Manny.",,,,verified,bbref,Manny Being Manny
bl-0046,sam-jones,24,LEGEND,Celtics Dynasty,Boston Celtics,10,Championships 10 in 12 Seasons,3,"Ten NBA championships, the most by any player at the time. Known for bank shots. A key piece of 10 Celtics championships. The greatest role player in the history of dynasty basketball.",,,,verified,bkref,The Bank Shot
bl-0047,terry-o-reilly,24,LEGEND,Bruins Modern Era,Boston Bruins,204,Career Goals,2,Called Taz because he played like a Tasmanian devil. The toughest player on the Bruins in the late 1970s and early 1980s. A fan favorite who embodied blue-collar hockey and gave everything every night.,,,,verified,hkref,
bl-0048,ty-law,24,LEGEND,Patriots Dynasty,New England Patriots,53,Career Interceptions,3,"He jumped Kurt Warner's pass and took it back for a pick-six in Super Bowl XXXVI, the play that helped announce the Patriots dynasty to the world.",,,,verified,pfref,Hall of Famer
bl-0049,k-c-jones,25,LEGEND,Celtics Dynasty,Boston Celtics,10,"Boston Championships — 8 as Player, 2 More Coaching Bird's Celtics",3,He won eight rings as a Celtic player and then came back to coach Larry Bird and Kevin McHale to two more. A Celtic for two dynasties across three decades.,,,,verified,bkref,
bl-0050,tony-conigliaro,25,LEGEND,Red Sox 60s-70s,Boston Red Sox,162,Career Home Runs,3,"At age 20 he led the AL in home runs, youngest ever. At 22 he was among the game's brightest stars. Then Jack Hamilton's pitch hit him in the face in 1967, nearly costing him his eye. He came back two years later and hit 36 home runs in 1970. Vision problems forced his retirement, but his courage stands forever.",,,,verified,bbref,
bl-0051,wade-boggs,26,LEGEND,Red Sox 80s,Boston Red Sox,5,AL Batting Titles,3,He won five batting titles in Boston and ate chicken before every game as a ritual and was one of the purest hitters who ever lived,,,,verified,bbref,
bl-0052,carlton-fisk,27,LEGEND,Red Sox 70s,Boston Red Sox,1,Home Run Game 6 1975 WS,3,He waved it fair with his whole body as the ball drifted toward the left field foul pole. The most iconic moment in Red Sox history.,,,,verified,bbref,
bl-0053,corey-dillon,28,LEGEND,Patriots Dynasty,New England Patriots,1635,Rushing Yards in 2004,2,He set the Patriots single-season rushing record in the same year they won the Super Bowl. The forgotten dynasty piece.,,,,verified,pfref,
bl-0054,tim-thomas,30,LEGEND,NHL Modern Era,Boston Bruins,.940,2011 Playoff Save %,3,His .940 save percentage during the 2011 Stanley Cup run is one of the greatest playoff performances by a goalie in NHL history,,,,verified,hkref,
bl-0055,cedric-maxwell,31,LEGEND,Celtics Big Three,Boston Celtics,2,Championships,2,"He told his teammates to get on his back in the 1984 Finals when they were struggling, then went out and won Finals MVP.",,,,verified,bkref,
bl-0056,kevin-mchale,32,LEGEND,Celtics Big Three,Boston Celtics,3,Championships,3,He had the Dream Shake before Hakeem had a name for it. His low post footwork was so good they literally changed the rules to try to stop it.,,,,verified,bkref,
bl-0057,larry-bird,33,LEGEND,Celtics Big Three,Boston Celtics,3,Championships,3,"He once told the other team exactly where he was going to shoot from, then did it. They still couldn't stop him.",,,,verified,bkref,
bl-0058,zdeno-chara,33,LEGEND,Bruins Modern Era,Boston Bruins,1,Stanley Cup Ring,2,At 6-foot-9 he was the tallest player in NHL history and captained the Bruins to the Stanley Cup like it was what tall people do.,,,,verified,hkref,
bl-0059,david-ortiz,34,LEGEND,Red Sox Revival,Boston Red Sox,541,Career Home Runs,3,In 2004 he hit a grand slam off Joe Nathan to help complete the greatest comeback in baseball history. In 2013 he stood at Fenway after the marathon bombing and told the city this is our f***ing city.,,,,verified,bbref,
bl-0060,paul-pierce,34,LEGEND,Big Three Era,Boston Celtics,1,Championship,2,He carried the Celtics through the dark years when they were terrible and it would have been easy to leave. Then he brought them back to glory.,,,,verified,bkref,
bl-0061,reggie-lewis,35,LEGEND,Celtics Gap Years,Boston Celtics,20.8,Career PPG,3,He died on a practice court at 27. The city still wonders what he would have become. The career scoring average alone shows what was lost.,,,,verified,bkref,One of the great Boston tragedies
bl-0062,patrice-bergeron,37,LEGEND,Bruins Modern Era,Boston Bruins,6,Selke Trophies,3,"He won six Selke Trophies as the best defensive forward in hockey, from the same team, over 19 seasons. A standard of excellence that may never be matched.",,,,verified,hkref,
bl-0063,curt-schilling,38,LEGEND,Red Sox Revival,Boston Red Sox,1,World Series Ring,3,He pitched the 2004 ALCS with a torn tendon in his ankle. The stitches holding his tendon in place bled through his sock on national television.,,,,verified,bbref,
bl-0064,tuukka-rask,40,LEGEND,Bruins Modern Era,Boston Bruins,1,Stanley Cup Ring,2,"He left the bubble during COVID to be with his family, then came back the next season to give the team one last run because he wasn't done yet.",,,,verified,hkref,
bl-0065,jackie-robinson,42,SACRED,Civil Rights Era,Brooklyn Dodgers,2,NL Stolen Base Titles (1947 & 1949),3,"His number is retired across all of baseball, not just one team. Every April 15th every single player wears 42 because what he did was bigger than baseball.",,,,verified,bbref,Played for Brooklyn Dodgers - included because #42 is honored at Fenway every April 15
bl-0066,danny-ainge,44,LEGEND,Celtics Big Three,Boston Celtics,2,Championships,1,He won two rings as a Celtic player and then came back as GM to build the team that won in 2008. Two different dynasties.,,,,verified,bkref,
bl-0067,pedro-martinez,45,LEGEND,Red Sox Modern,Boston Red Sox,2.52,ERA as Red Sox,3,In 1999 he was so dominant that he left a game early and the Red Sox still won on offense alone. He was that far ahead of his era.,,,,verified,bbref,
bl-0068,david-krejci,46,LEGEND,Bruins Modern Era,Boston Bruins,1,Stanley Cup Ring,2,"He led the playoffs in scoring in 2011 when the Bruins won the Cup, the most underrated Bruin of the championship era. He came back from the Czech league because he wasn't done.",,,,verified,hkref,
bl-0069,mike-vrabel,50,LEGEND,Patriots Dynasty,New England Patriots,3,Super Bowl Rings,2,He was a linebacker who somehow caught a touchdown pass in three different Super Bowls. Physically this should not be possible.,,,,verified,pfref,
bl-0070,tedy-bruschi,54,LEGEND,Patriots Dynasty,New England Patriots,3,Super Bowl Rings,3,He had a stroke in February 2005 and by October he was back on the field for the Patriots. The soul of the dynasty.,,,,verified,pfref,
bl-0071,willie-mcginest,55,LEGEND,Patriots Dynasty,New England Patriots,3,Super Bowl Rings,2,He holds the NFL record for most sacks in a single playoff game. In a must-win situation he took over games.,,,,verified,pfref,
bl-0072,andre-tippett,59,LEGEND,Pre-Dynasty Patriots,New England Patriots,100,Career Sacks,2,He was a Hall of Fame pass rusher who also practiced martial arts and became a martial arts master. The most underrated great Patriot.,,,,verified,pfref,
bl-0073,brad-marchand,63,LEGEND,Bruins Modern Era,Boston Bruins,1,Stanley Cup Ring,3,"He's the Bruins all-time points leader, won the Cup in 2011, and plays like a guy who was told he was too small to make it. Because he was told that. Now with the Florida Panthers, but the Boston legend stays.",,,,verified,hkref,"Moved to Florida Panthers 2025 — legacy belongs to Boston. Keep on legends wall, review annually."
bl-0074,matt-light,72,LEGEND,Patriots Dynasty,New England Patriots,3,Super Bowl Rings,2,He protected Tom Brady's blind side for 11 years and three Super Bowls. The most important Patriot nobody talks about.,,,,verified,pfref,
bl-0075,john-hannah,73,LEGEND,Pre-Dynasty Patriots,New England Patriots,9,Pro Bowl Selections,3,"Sports Illustrated called him the best offensive lineman who ever played, not the best of his era but the best ever.",,,,verified,pfref,
bl-0076,vince-wilfork,75,LEGEND,Patriots Dynasty,New England Patriots,5,Pro Bowl Selections,2,"He was a 325-pound nose tackle who ran down a ball carrier from behind on an interception return, and people think of him as just a run stopper.",,,,verified,pfref,
bl-0077,ray-bourque,77,LEGEND,Bruins Modern Era,Boston Bruins,1169,Career Points (D record),3,"He gave up his #7 so Phil Esposito could retire it, wore #77 for the rest of his career. The most selfless act in Boston sports history.",,,,verified,hkref,
bl-0078,randy-moss,81,LEGEND,Patriots Dynasty,New England Patriots,23,Single Season TDs (2007 — NFL Record),3,"He was a Patriot for exactly one season, 2007, and caught 23 touchdown passes, still the record, on the 16-0 team. One year. One record. That's the whole Boston story.",,,,verified,pfref,One season on the Boston wall — the stat earns it
bl-0079,wes-welker,83,LEGEND,Patriots Dynasty,New England Patriots,672,Receptions as Patriot,2,"He caught 672 passes in five seasons, the most reliable hands Brady ever had, and then dropped the one that would have beaten the Giants in Super Bowl XLVI.",,,,verified,pfref,Dropped the crucial pass in Super Bowl XLVI
bl-0080,rob-gronkowski,87,LEGEND,Patriots Dynasty,New England Patriots,4,Super Bowl Rings,3,"He is the greatest tight end in NFL history and he made it look fun. Nobody has ever combined size, speed, blocking, and pure force at that position.",,,,verified,pfref,Gronk
bl-0081,david-pastrnak,88,LEGEND,Bruins Modern Era,Boston Bruins,61,Goals in 2022-23,3,He tied for the NHL goal scoring title in 2022-23 with 61 goals and plays with a joy that makes you want to watch every shift.,,,,verified,hkref,Active - update annually
bl-0082,richard-seymour,93,LEGEND,Patriots Dynasty,New England Patriots,3,Super Bowl Rings,2,He was the quiet anchor of the early dynasty. Three rings. Does not get mentioned enough considering how dominant he was.,,,,verified,pfref,Hall of Famer
